date,strategy,spy
2021-01-25,130091.4992316363,149734.72807696467
2021-01-26,129366.54310139621,149501.00376438783
2021-01-27,128759.96528742329,145847.13794025072
2021-01-28,129194.48567740466,147101.43160131993
2021-01-29,128004.91307663477,144156.5410180869
2021-02-01,128320.99448825969,146556.08764170087
2021-02-02,128762.36116527602,148628.41001192565
2021-02-03,130155.25319025716,148745.29132280452
2021-02-04,130593.01018743434,150435.9137844222
2021-02-05,130913.26632757905,151027.9566355396
2021-02-08,132392.17431436613,152118.69563368557
2021-02-09,132004.7606734308,152017.41892915367
2021-02-10,132675.6567466547,151951.16958567727
2021-02-11,132135.39766145073,152196.60373787786
2021-02-12,132701.9150580964,152948.42141273787
2021-02-16,133630.1981576297,152815.96103496593
2021-02-17,134179.11560364024,152851.01393547532
2021-02-18,133312.64552313377,152200.52404405506
2021-02-19,133921.142393398,151931.7085217879
2021-02-22,135154.7083955045,150763.08695890356
2021-02-23,135797.9904664893,150946.17930407796
2021-02-24,137250.88778616814,152609.48731972495
2021-02-25,136311.57810270877,148932.22735579434
2021-02-26,135355.93676456713,148164.8178443143
2021-03-01,136514.15391099564,151756.40571006003
2021-03-02,136254.4882675943,150572.2178500096
2021-03-03,136785.52150982714,148577.77804452318
2021-03-04,137678.37652780837,146739.1416776944
2021-03-05,139305.40444844318,149438.66195736162
2021-03-08,139407.84406394837,148694.6465856751
2021-03-09,138663.2112378286,150817.62646275628
2021-03-10,139810.39334349244,151756.40571006003
2021-03-11,139855.46060881997,153295.06842083557
2021-03-12,139982.97720940778,153501.52936634954
2021-03-15,139772.2578870887,154416.95278304067
2021-03-16,138524.40582327044,154222.1761376965
2021-03-17,138846.91271126427,154748.09734260707
2021-03-18,136788.73714096274,152496.53908475026
2021-03-19,136413.44394344205,152214.39196753528
2021-03-22,136309.3904542934,153429.80181000664
2021-03-23,135724.0934001166,152222.20704043572
2021-03-24,136570.01721051717,151448.37435629402
2021-03-25,137011.89018114223,152300.3194602594
2021-03-26,138728.83192582757,154754.6482125383
2021-03-29,138173.06511443673,154676.49748353375
2021-03-30,137724.56040885672,154266.15507735198
2021-03-31,137317.62247266356,154891.4375277502
2021-04-01,138828.17240891696,156564.13129271395
2021-04-05,138083.37928775407,158811.29676449596
2021-04-06,138046.13520462762,158717.5158896905
2021-04-07,138206.4857613058,158901.19564230513
2021-04-08,137557.39326960998,159655.50341392265
2021-04-09,137384.24464018847,160816.20774609083
2021-04-12,137247.1994448883,160874.8335625712
2021-04-13,137438.5930724321,161351.6168581338
2021-04-14,138330.0346960982,160800.56483056294
2021-04-15,138577.7547717807,162527.9641058299
2021-04-16,138320.2414154311,163071.2265999542
2021-04-19,138440.97144157678,162270.01562120699
2021-04-20,138683.8337381219,161081.97130361418
2021-04-21,138876.91153195393,162606.1148348344
2021-04-22,138698.540669347,161121.0338983895
2021-04-23,138951.750736156,162867.9580861806
2021-04-26,139033.52675584593,163208.00314543914
2021-04-27,139067.81246165888,163172.80977793317
2021-04-28,139027.04588182096,163125.9321102574
2021-04-29,139349.49516556883,164165.49004274156
2021-04-30,139448.96942982238,163086.8312063012
2021-05-03,139359.95161622294,163438.56056572957
2021-05-04,139205.3884743063,162430.2373853933
2021-05-05,138850.72572843303,162481.07366842715
2021-05-06,139064.98002682274,163778.5417763533
2021-05-07,139489.74753300205,164970.5447093042
2021-05-10,139586.9104292844,163336.95184829665
2021-05-11,139146.7178574144,161879.23643673028
2021-05-12,138333.32980054655,158440.0552622704
2021-05-13,138766.48082213127,160343.30644752452
2021-05-14,139172.4561699812,162805.42473324997
2021-05-17,139160.14297276098,162391.162020891
2021-05-18,139034.60990108916,160992.05965607805
2021-05-19,138765.57558493398,160570.00741027258
2021-05-20,139368.50046137127,162297.38114608554
2021-05-21,139358.65308626596,162164.49936732388
2021-05-24,139484.25527521136,163817.66821976344
2021-05-25,139113.0501173554,163454.19071153048
2021-05-26,139000.1740661747,163778.5417763533
2021-05-27,138626.0802568445,163864.5458874392
2021-05-28,139128.08991773945,164157.68773956803
2021-06-01,139018.171122722,164013.05781200176
2021-06-02,139607.7894669977,164270.9935268977
2021-06-03,139945.55344193213,163661.32845257342
2021-06-04,140122.6357079914,165158.15753782296
2021-06-07,140387.67568145835,164997.91023418275
2021-06-08,140329.45822723475,165033.09083196177
2021-06-09,140190.56091274292,164786.85218696258
2021-06-10,140629.9519555611,165552.8825679308
2021-06-11,140467.23014121916,165826.43565890068
2021-06-14,140997.08821381466,166197.71547030713
2021-06-15,140448.9017814889,165892.88931800847
